skill_id,prerequisite_skill_id,dependency_strength
3,23,0.8
3,4,0.7
3,2,0.6
3,1,0.6
3,10,0.4
6,4,0.8
6,8,0.6
6,23,0.7
6,10,0.5
6,9,0.6
7,2,0.7
7,5,0.6
7,13,0.9
7,9,0.4
7,1,0.4
14,12,0.8
14,22,0.8
14,11,0.8
14,9,0.6
14,1,0.6
16,22,0.7
16,12,0.6
16,25,0.8
16,9,0.7
16,1,0.7
17,13,0.8
17,11,0.7
17,15,0.7
17,1,0.6
17,9,0.6
19,4,0.8
19,22,0.7
19,5,0.7
19,9,0.6
19,1,0.7
20,2,0.8
20,8,0.7
20,25,0.6
20,10,0.5
20,9,0.5
21,23,0.7
21,15,0.7
21,5,0.8
21,9,0.7
21,10,0.5
24,8,0.7
24,5,0.8
24,18,0.9
24,1,0.6
24,10,0.5
2,1,0.7
2,9,0.9
4,10,0.9
4,9,0.8
5,1,0.8
5,10,0.7
8,9,0.5
8,10,0.7
11,9,0.9
11,1,0.9
12,9,0.7
12,1,0.5
13,10,0.8
13,9,0.7
15,1,0.6
15,10,0.6
18,10,0.7
18,1,0.7
22,1,0.9
22,9,0.8
23,9,0.5
23,1,0.9
25,1,0.8
25,10,0.8
28,45,0.8
28,29,0.9
28,27,0.6
28,44,0.7
28,31,0.6
32,30,0.9
32,33,0.8
32,45,0.7
32,44,0.5
32,31,0.4
35,26,0.7
35,30,0.6
35,33,0.8
35,34,0.7
35,31,0.7
39,27,0.8
39,30,0.7
39,29,0.6
39,44,0.6
39,31,0.6
40,30,0.8
40,27,0.7
40,26,0.7
40,31,0.6
40,38,0.6
41,26,0.7
41,37,0.9
41,36,0.7
41,34,0.5
41,38,0.5
42,33,0.9
42,43,0.6
42,27,0.8
42,31,0.6
42,44,0.6
26,31,0.9
26,44,0.8
27,34,0.7
27,44,0.6
29,44,0.6
29,31,0.5
30,44,0.9
30,34,0.8
33,38,0.8
33,34,0.8
36,44,0.6
36,31,0.6
37,31,0.8
37,38,0.5
43,38,0.5
43,31,0.7
45,34,0.9
45,31,0.5
51,49,0.6
51,46,0.9
51,55,0.7
51,47,0.6
52,46,0.7
52,55,0.8
52,64,0.8
52,47,0.5
53,56,0.7
53,48,0.8
53,49,0.7
53,47,0.7
54,48,0.8
54,46,0.8
54,50,0.6
54,47,0.6
57,49,0.9
57,64,0.7
57,46,0.6
57,47,0.6
58,46,0.7
58,56,0.8
58,55,0.9
58,47,0.5
59,48,0.6
59,56,0.7
59,55,0.7
59,47,0.5
60,55,0.7
60,64,0.9
60,50,0.6
60,47,0.6
61,46,0.8
61,64,0.8
61,49,0.7
61,47,0.6
62,63,0.6
62,55,0.9
62,46,0.8
62,47,0.6
65,56,0.6
65,55,0.6
65,63,0.7
65,47,0.7
46,47,0.8
48,47,0.6
49,47,0.9
50,47,0.9
55,47,0.8
56,47,0.9
63,47,0.6
64,47,0.8
77,75,0.6
77,72,0.8
77,73,0.7
77,66,0.5
77,81,0.6
78,76,0.8
78,74,0.9
78,73,0.7
78,67,0.5
78,81,0.7
79,73,0.7
79,74,0.9
79,82,0.8
79,66,0.7
79,83,0.5
80,84,0.6
80,73,0.7
80,69,0.8
80,68,0.6
80,81,0.6
69,81,0.6
69,67,0.8
70,66,0.6
70,67,0.5
71,68,0.8
71,83,0.5
72,68,0.8
72,83,0.6
73,68,0.6
73,67,0.8
74,81,0.7
74,67,0.6
75,83,0.6
75,66,0.6
76,83,0.7
76,68,0.7
82,67,0.8
82,81,0.9
84,67,0.6
84,66,0.8
85,83,0.5
85,68,0.9
91,90,0.8
91,93,0.6
91,103,0.6
91,104,0.5
91,86,0.7
92,103,0.7
92,90,0.7
92,97,0.8
92,86,0.6
92,104,0.5
95,100,0.8
95,98,0.9
95,87,0.6
95,86,0.6
95,104,0.7
96,103,0.8
96,94,0.8
96,98,0.8
96,104,0.6
96,86,0.5
99,93,0.8
99,90,0.8
99,103,0.8
99,104,0.4
99,86,0.5
101,93,0.9
101,94,0.6
101,100,0.6
101,104,0.6
101,86,0.4
102,97,0.7
102,94,0.7
102,98,0.7
102,86,0.5
102,104,0.7
105,93,0.8
105,97,0.8
105,100,0.8
105,86,0.5
105,104,0.5
87,86,0.6
87,104,0.8
88,104,0.8
88,86,0.9
89,86,0.7
89,104,0.8
90,86,0.6
90,104,0.7
93,86,0.7
93,104,0.6
94,104,0.8
94,86,0.7
97,104,0.8
97,86,0.7
98,86,0.6
98,104,0.5
100,86,0.9
100,104,0.6
103,86,0.6
103,104,0.7
108,111,0.8
108,116,0.8
108,121,0.7
108,106,0.6
109,115,0.8
109,118,0.9
109,107,0.8
109,106,0.5
110,116,0.8
110,111,0.8
110,118,0.6
110,106,0.7
112,111,0.8
112,107,0.8
112,115,0.6
112,106,0.4
113,120,0.7
113,121,0.7
113,107,0.9
113,106,0.6
114,120,0.8
114,115,0.8
114,119,0.8
114,106,0.5
117,118,0.7
117,119,0.9
117,120,0.7
117,106,0.5
122,121,0.6
122,120,0.9
122,115,0.7
122,106,0.5
123,118,0.9
123,119,0.8
123,115,0.7
123,106,0.6
124,116,0.8
124,111,0.7
124,121,0.8
124,106,0.6
107,106,0.7
111,106,0.5
115,106,0.7
116,106,0.6
118,106,0.7
119,106,0.7
120,106,0.6
121,106,0.6
125,106,0.6
131,129,0.8
131,139,0.9
131,126,0.8
132,129,0.7
132,145,0.8
132,139,0.9
133,145,0.8
133,130,0.7
133,126,0.7
134,130,0.8
134,126,0.7
134,139,0.9
135,145,0.9
135,130,0.8
135,139,0.8
136,127,0.7
136,126,0.7
136,130,0.7
137,126,0.7
137,130,0.8
137,141,0.7
138,127,0.6
138,126,0.8
138,145,0.7
140,129,0.8
140,127,0.8
140,130,0.8
143,129,0.9
143,141,0.7
143,145,0.8
144,141,0.8
144,130,0.8
144,142,0.8
36,25,0.5
30,15,0.4
34,16,0.5
32,2,0.4
35,20,0.4
31,9,0.5
34,8,0.5
26,10,0.5
44,134,0.7
38,130,0.7
29,127,0.5
29,135,0.5
30,127,0.7
39,145,0.7
37,142,0.7
37,130,0.5
56,34,0.7
53,42,0.7
58,30,0.6
48,44,0.8
56,37,0.7
60,39,0.8
56,27,0.7
49,45,0.7
62,33,0.8
46,30,0.7
57,134,0.7
51,126,0.6
61,132,0.7
64,139,0.6
58,135,0.8
52,138,0.8
59,136,0.6
54,131,0.8
53,144,0.6
61,136,0.7
49,1,0.5
57,25,0.5
51,8,0.5
48,23,0.5
47,8,0.6
53,13,0.5
75,20,0.5
67,17,0.5
80,1,0.7
71,11,0.7
82,7,0.6
68,15,0.6
70,15,0.6
67,20,0.7
92,19,0.4
92,5,0.4
88,8,0.5
91,7,0.5
86,14,0.4
90,18,0.5
114,22,0.5
113,23,0.3
124,24,0.5
115,8,0.5
124,19,0.3
122,96,0.3
122,103,0.4
109,99,0.3
107,105,0.4
