skill_1,skill_2,similarity_score
1,2,0.68
1,3,0.5
1,4,0.65
1,5,0.67
1,6,0.59
1,7,0.57
1,8,0.74
1,9,0.68
1,10,0.77
1,11,0.58
1,12,0.63
1,13,0.63
1,14,0.54
1,15,0.64
1,16,0.58
1,17,0.53
1,18,0.67
1,19,0.55
1,20,0.6
1,21,0.5
1,22,0.7
1,23,0.67
1,24,0.53
1,25,0.67
1,26,0.53
1,27,0.5
1,28,0.33
1,29,0.4
1,30,0.5
1,31,0.59
1,32,0.39
1,33,0.52
1,34,0.62
1,35,0.43
1,36,0.49
1,37,0.47
1,38,0.57
1,39,0.36
1,40,0.43
1,41,0.36
1,42,0.39
1,43,0.42
1,44,0.59
1,45,0.45
1,46,0.33
1,47,0.52
1,48,0.38
1,49,0.4
1,50,0.43
1,51,0.27
1,52,0.27
1,53,0.26
1,54,0.26
1,55,0.49
1,56,0.46
1,57,0.33
1,58,0.26
1,59,0.33
1,60,0.29
1,61,0.28
1,62,0.35
1,63,0.46
1,64,0.46
1,65,0.33
1,66,0.61
1,67,0.59
1,68,0.54
1,69,0.4
1,70,0.45
1,71,0.45
1,72,0.44
1,73,0.54
1,74,0.54
1,75,0.44
1,76,0.52
1,77,0.38
1,78,0.43
1,79,0.39
1,80,0.4
1,81,0.5
1,82,0.51
1,83,0.5
1,84,0.51
1,85,0.54
1,86,0.5
1,87,0.37
1,88,0.47
1,89,0.42
1,90,0.41
1,91,0.25
1,92,0.28
1,93,0.46
1,94,0.45
1,95,0.31
1,96,0.28
1,97,0.4
1,98,0.5
1,99,0.31
1,100,0.51
1,101,0.36
1,102,0.25
1,103,0.43
1,104,0.49
1,105,0.32
1,106,0.48
1,107,0.36
1,108,0.22
1,109,0.24
1,110,0.25
1,111,0.42
1,112,0.28
1,113,0.23
1,114,0.27
1,115,0.35
1,116,0.44
1,117,0.31
1,118,0.34
1,119,0.41
1,120,0.38
1,121,0.37
1,122,0.3
1,123,0.27
1,124,0.32
1,125,0.4
1,126,0.18
1,127,0.2
1,128,0.22
1,129,0.29
1,130,0.27
1,131,0.19
1,132,0.13
1,133,0.13
1,134,0.18
1,135,0.18
1,136,0.1
1,137,0.14
1,138,0.09
1,139,0.28
1,140,0.18
1,141,0.21
1,142,0.25
1,143,0.15
1,144,0.13
1,145,0.29
1,146,0.66
1,147,0.64
1,148,0.57
1,149,0.69
1,150,0.67
1,151,0.38
1,152,0.44
1,153,0.49
1,154,0.3
1,155,0.3
1,156,0.35
1,157,0.34
1,158,0.29
1,159,0.46
1,160,0.26
1,161,0.24
1,162,0.09
1,163,0.16
1,164,0.13
1,165,0.44
2,3,0.7
2,4,0.73
2,5,0.72
2,6,0.72
2,7,0.65
2,8,0.71
2,9,0.64
2,10,0.63
2,11,0.7
2,12,0.75
2,13,0.73
2,14,0.64
2,15,0.73
2,16,0.69
2,17,0.63
2,18,0.75
2,19,0.69
2,20,0.72
2,21,0.71
2,22,0.73
2,23,0.79
2,24,0.65
2,25,0.79
2,26,0.56
2,27,0.53
2,28,0.49
2,29,0.57
2,30,0.58
2,31,0.41
2,32,0.52
2,33,0.54
2,34,0.5
2,35,0.52
2,36,0.51
2,37,0.57
2,38,0.44
2,39,0.51
2,40,0.52
2,41,0.51
2,42,0.47
2,43,0.57
2,44,0.42
2,45,0.53
2,46,0.47
2,47,0.39
2,48,0.58
2,49,0.5
2,50,0.58
2,51,0.39
2,52,0.39
2,53,0.45
2,54,0.44
2,55,0.51
2,56,0.52
2,57,0.42
2,58,0.39
2,59,0.48
2,60,0.46
2,61,0.42
2,62,0.45
2,63,0.46
2,64,0.51
2,65,0.41
2,66,0.46
2,67,0.39
2,68,0.52
2,69,0.56
2,70,0.54
2,71,0.58
2,72,0.59
2,73,0.52
2,74,0.51
2,75,0.56
2,76,0.52
2,77,0.48
2,78,0.49
2,79,0.47
2,80,0.46
2,81,0.4
2,82,0.59
2,83,0.37
2,84,0.57
2,85,0.52
2,86,0.36
2,87,0.57
2,88,0.5
2,89,0.51
2,90,0.53
2,91,0.37
2,92,0.45
2,93,0.55
2,94,0.57
2,95,0.41
2,96,0.42
2,97,0.45
2,98,0.54
2,99,0.47
2,100,0.55
2,101,0.44
2,102,0.38
2,103,0.51
2,104,0.37
2,105,0.46
2,106,0.4
2,107,0.52
2,108,0.33
